,Survived
0,0
1,0
2,0
3,0
4,1
5,0
6,1
7,0
8,1
9,0
10,0
11,0
12,1
13,0
14,1
15,1
16,0
17,0
18,1
19,1
20,0
21,1
22,1
23,1
24,0
25,1
26,0
27,0
28,0
29,0
30,0
31,0
32,1
33,0
34,0
35,1
36,1
37,0
38,0
39,0
40,0
41,0
42,1
43,1
44,0
45,0
46,0
47,1
48,1
49,0
50,0
51,1
52,1
53,0
54,0
55,0
56,0
57,0
58,1
59,0
60,0
61,0
62,1
63,1
64,1
65,1
66,0
67,1
68,1
69,1
70,0
71,1
72,1
73,1
74,1
75,0
76,1
77,0
78,1
79,0
80,0
81,0
82,0
83,0
84,0
85,1
86,1
87,1
88,0
89,1
90,0
91,1
92,0
93,1
94,0
95,1
96,0
97,1
98,0
99,1
100,0
101,0
102,0
103,1
104,0
105,0
106,0
107,0
108,0
109,0
110,1
111,1
112,1
113,1
114,0
115,0
116,1
117,1
118,1
119,1
120,0
121,1
122,0
123,0
124,1
125,0
126,1
127,0
128,0
129,0
130,0
131,1
132,0
133,0
134,0
135,0
136,0
137,1
138,0
139,0
140,1
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,1
150,0
151,0
152,1
153,0
154,0
155,1
156,1
157,0
158,1
159,1
160,0
161,1
162,0
163,0
164,1
165,0
166,0
167,1
168,1
169,0
170,0
171,0
172,0
173,0
174,1
175,1
176,0
177,1
178,1
179,0
180,0
181,1
182,0
183,1
184,0
185,1
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,1
196,1
197,0
198,1
199,1
200,0
201,0
202,1
203,0
204,0
205,1
206,0
207,1
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,1
216,0
217,1
218,0
219,1
220,0
221,1
222,0
223,1
224,1
225,0
226,1
227,0
228,0
229,0
230,1
231,0
232,0
233,0
234,0
235,0
236,0
237,1
238,1
239,1
240,1
241,0
242,0
243,0
244,0
245,1
246,0
247,1
248,1
249,1
250,0
251,1
252,0
253,0
254,0
255,0
256,0
257,1
258,0
259,0
260,0
261,1
262,1
263,0
264,0
265,0
266,1
267,0
268,0
269,0
270,1
271,1
272,0
273,1
274,0
275,0
276,0
277,0
278,1
279,0
280,1
281,1
282,1
283,0
284,0
285,0
286,0
287,0
288,0
289,1
290,0
291,0
292,0
293,0
294,1
295,0
296,1
297,0
298,0
299,0
300,0
301,0
302,1
303,1
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,1
312,1
313,1
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,1
323,0
324,1
325,0
326,0
327,0
328,1
329,0
330,0
331,1
332,0
333,1
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,1
343,0
344,1
345,0
346,1
347,1
348,0
349,0
350,0
351,1
352,0
353,1
354,0
355,0
356,1
357,0
358,1
359,1
360,0
361,1
362,1
363,0
364,1
365,1
366,0
367,0
368,1
369,0
370,1
371,1
372,1
373,0
374,0
375,0
376,0
377,0
378,1
379,1
380,0
381,1
382,0
383,0
384,0
385,0
386,1
387,1
388,0
389,0
390,0
391,1
392,0
393,1
394,0
395,0
396,1
397,0
398,1
399,1
400,0
401,0
402,0
403,0
404,1
405,1
406,1
407,1
408,1
409,0
410,1
411,0
412,0
413,0
